operatingSystemServicePack|logonCount|cn|description|dNSHostName|whenChanged|lastLogon|whenCreated|operatingSystemVersion|displayname|operatingSystem|name
Service Pack 2||ACER-5AF11873E2||acer-5af11873e2.eastnets.com|2009-09-04T08:12:54.000000000||2009-09-04T08:05:24.000000000|5.1 (2600)||Windows XP Professional|ACER-5AF11873E2
Service Pack 2|1|ENBEDE-0015|Tina Patnell|ENBEDE-0015.eastnets.com|2012-07-19T09:31:11.000000000|2011-06-15 15:12:58|2009-09-07T09:25:52.000000000|5.1 (2600)||Windows XP Professional|ENBEDE-0015
Service Pack 1|24|FTPSERVER||FTPServer.eastnets.com|2009-10-04T06:17:01.000000000|2009-10-04 00:08:27|2009-09-12T10:12:35.000000000|6.0 (6001)||Windows Server® 2008 Standard|FTPSERVER
Service Pack 3|21|EASTNETS-1D731B||eastnets-1d731b.eastnets.com|2010-04-12T08:26:31.000000000|2010-04-21 13:12:11|2009-09-13T10:47:36.000000000|5.1 (2600)||Windows XP Professional|EASTNETS-1D731B
Service Pack 3|2|MAHDY||mahdy.eastnets.com|2013-07-25T10:19:37.000000000|2011-10-03 06:53:42|2009-09-22T11:47:12.000000000|5.1 (2600)||Windows XP Professional|MAHDY
Service Pack 3|0|ENE001J||ENE001j.eastnets.com|2012-09-26T12:36:27.000000000|2012-01-31 13:05:32|2009-09-22T12:22:15.000000000|5.1 (2600)||Windows XP Professional|ENE001J
Service Pack 3|0|ENBEDE-0013|Monique Van Gesteel|enbede-0013.eastnets.com|2012-12-17T09:22:10.000000000|2011-06-29 08:37:55|2009-09-22T12:33:47.000000000|5.1 (2600)||Windows XP Professional|ENBEDE-0013
Service Pack 2||HERMES||hermes.eastnets.com|2013-08-13T12:39:01.000000000||2009-09-23T13:05:37.000000000|5.2 (3790)||Windows Server 2003|HERMES
Service Pack 3|0|ENE004J||ENE004j.eastnets.com|2012-09-30T16:06:17.000000000|2011-02-06 02:57:11|2009-09-24T09:55:53.000000000|5.1 (2600)||Windows XP Professional|ENE004J
Service Pack 3|0|ENE002J||ENE002j.eastnets.com|2012-09-29T22:36:18.000000000|0|2009-09-24T12:45:31.000000000|5.1 (2600)||Windows XP Professional|ENE002J
Service Pack 3|0|ENBEDE-0040||ENBEDE-0040.eastnets.com|2011-10-03T07:05:48.000000000|2011-06-30 10:19:04|2009-09-25T10:05:09.000000000|5.1 (2600)||Windows XP Professional|ENBEDE-0040
Service Pack 3|0|ENE003J||ENE003j.eastnets.com|2012-09-24T06:06:24.000000000|2011-12-27 13:31:44|2009-09-27T09:53:15.000000000|5.1 (2600)||Windows XP Professional|ENE003J
|615|ENDXBHMULHIM||ENDXBHMULHIM.eastnets.com|2011-03-01T11:15:46.000000000|2010-11-11 14:31:21|2009-09-30T13:56:51.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXBHMULHIM
||serenity||serenity.eastnets.com|2013-08-19T09:19:15.000000000||2009-10-01T08:19:45.000000000||||serenity
Service Pack 2|4|ENDXBKPRAKASAM||ENDXBKPRAKASAM.eastnets.com|2009-11-22T06:09:39.000000000|2009-11-22 06:10:12|2009-10-01T11:56:10.000000000|5.1 (2600)||Windows XP Professional|ENDXBKPRAKASAM
Service Pack 3|6|DXBBASEM||dxbbasem.eastnets.com|2010-01-03T11:02:18.000000000|2010-01-03 11:27:25|2009-10-08T06:27:33.000000000|5.1 (2600)||Windows XP Professional|DXBBASEM
Service Pack 3|0|ENAMDEV030||enamdev030.eastnets.com|2009-11-25T09:35:49.000000000|2009-11-16 06:26:22|2009-10-11T11:45:38.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV030
|6|ENAMDEV032||enamdev032.eastnets.com|2010-09-29T14:29:07.000000000|2010-09-29 14:36:32|2009-10-11T11:47:45.000000000|6.1 (7600)||Windows 7 Professional|ENAMDEV032
Service Pack 3|1|ENAMDEV034||enamdev034.eastnets.com|2010-11-14T13:17:15.000000000|2010-11-02 11:05:45|2009-10-11T12:22:08.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV034
Service Pack 3|1|ENAMDEV033||enamdev033.eastnets.com|2010-11-25T08:16:34.000000000|2010-01-25 22:32:42|2009-10-11T12:26:25.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV033
|1026|ENDXB-BDUHEIDEL||ENDXB-BDUHEIDEL.eastnets.com|2010-10-31T09:45:01.000000000|2010-11-02 05:18:33|2009-10-11T13:19:37.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-BDUHEIDEL
Service Pack 2|0|ENAMEXMBX02||ENAMExMBX02.eastnets.com|2010-11-17T00:16:17.000000000|2010-10-13 01:21:07|2009-10-12T07:10:10.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|ENAMEXMBX02
Service Pack 2|0|ENAMBACKUP01||ENAMBackup01.eastnets.com|2013-08-11T16:34:22.000000000|2010-10-02 23:56:01|2009-10-12T09:38:56.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|ENAMBACKUP01
Service Pack 2|0|ENAMLYNC2010||ENAMLYNC2010.eastnets.com|2013-08-16T12:36:15.000000000|2010-10-02 20:21:57|2009-10-12T09:42:43.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|ENAMLYNC2010
Service Pack 2|0|ENAMEXMBX01||ENAMEXMBX01.eastnets.com|2010-11-21T16:17:04.000000000|2009-10-13 07:42:39|2009-10-12T09:47:17.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|ENAMEXMBX01
Service Pack 2|5|ENAMMAD002||ENAMMAD002.eastnets.com|2013-08-19T11:36:10.000000000|2011-06-05 19:05:12|2009-10-12T09:57:03.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|ENAMMAD002
Service Pack 1|0|ENAMSQL02||ENAMSQL02.eastnets.com|2009-10-12T13:03:51.000000000|2009-10-19 03:27:38|2009-10-12T10:10:44.000000000|6.0 (6001)||Windows Server® 2008 Enterprise|ENAMSQL02
Service Pack 1|0|ENAMSQL01||ENAMSQL01.eastnets.com|2009-10-12T13:03:51.000000000|2009-10-19 10:24:11|2009-10-12T10:17:10.000000000|6.0 (6001)||Windows Server® 2008 Enterprise|ENAMSQL01
Service Pack 3|56|ENAMSW010||enamsw010.eastnets.com|2011-08-04T09:21:19.000000000|2011-07-28 15:43:04|2009-10-12T13:50:20.000000000|5.1 (2600)||Windows XP Professional|ENAMSW010
Service Pack 2|525|ENDXB-LHEDIAH||ENDXB-LHEDIAH.eastnets.com|2011-05-11T11:09:11.000000000|2011-05-11 11:09:30|2009-10-14T09:32:15.000000000|6.0 (6002)||Windows Vista™ Business|ENDXB-LHEDIAH
Service Pack 3||NEIL||Neil.eastnets.com|2009-12-29T14:30:52.000000000||2009-10-14T10:01:53.000000000|5.1 (2600)||Windows XP Professional|NEIL
Service Pack 3||EASTNETS-NEIL||eastnets-Neil.eastnets.com|2010-04-27T14:09:53.000000000||2009-10-14T11:57:10.000000000|5.1 (2600)||Windows XP Professional|EASTNETS-NEIL
Service Pack 2||CABVM||CABVM.eastnets.com|2010-08-22T08:58:57.000000000||2009-10-14T12:44:12.000000000|5.2 (3790)||Windows Server 2003|CABVM
Service Pack 1|793|ENDXB-KSHARAWNE||ENDXB-KSHARAWNE.eastnets.com|2010-10-28T08:24:12.000000000|2010-11-02 09:25:20|2009-10-19T07:34:19.000000000|6.0 (6001)||Windows Vista™ Business|ENDXB-KSHARAWNE
Service Pack 2|25|ENDHK-PCHIN||ENDHK-PCHIN.eastnets.com|2010-07-06T10:32:43.000000000|2010-04-07 10:11:09|2009-10-19T10:39:10.000000000|6.0 (6002)||Windows Vista™ Business|ENDHK-PCHIN
Service Pack 3||ENEDELLLAP||ENEdelllap.eastnets.com|2012-02-09T07:53:59.000000000||2009-10-20T13:32:55.000000000|5.1 (2600)||Windows XP Professional|ENEDELLLAP
|3|ENBEDE-0003|Kevin Kok|ENBEDE-0003.eastnets.com|2010-11-29T10:01:52.000000000|2010-11-30 04:54:14|2009-10-20T13:51:09.000000000|6.1 (7600)||Windows 7 Enterprise|ENBEDE-0003
Service Pack 1|3|ENBEDE-0005|Philippe Piron|enbede-0005.eastnets.com|2013-06-16T22:37:04.000000000|2011-06-20 07:12:34|2009-10-21T08:47:15.000000000|6.1 (7601)||Windows 7 Professional|ENBEDE-0005
|425|ENDXB-MSHAREE||ENDXB-MSHAREE.eastnets.com|2010-11-22T07:05:11.000000000|2010-12-01 11:26:25|2009-10-26T05:51:11.000000000|6.1 (7600)||Windows 7 Ultimate N|ENDXB-MSHAREE
|1036|ENDXB-SALAMEH||ENDXB-SALAMEH.eastnets.com|2011-08-08T06:07:29.000000000|2011-05-09 08:54:34|2009-10-26T07:13:26.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-SALAMEH
|4|ENAMSEC008|Rana Alsharayha|ENAMSEC008.eastnets.com|2013-04-29T05:21:56.000000000|2012-05-07 12:30:55|2009-10-27T09:11:57.000000000|6.1 (7600)||Windows 7 Professional|ENAMSEC008
Service Pack 2|0|TESE||tese.eastnets.com|2010-05-11T09:09:39.000000000|2009-11-05 16:44:58|2009-10-28T11:53:48.000000000|5.1 (2600)||Windows XP Professional|TESE
Service Pack 3|3|ENBELA-0020|Xavier Kervyn|ENBELA-0020.eastnets.com|2010-12-29T08:28:46.000000000|2010-10-06 04:17:13|2009-10-28T15:14:17.000000000|5.1 (2600)||Windows XP Professional|ENBELA-0020
|4|ENBETEST-0001||ENBETEST-0001.eastnets.com|2011-04-08T02:12:07.000000000|2011-03-01 10:05:14|2009-10-30T10:36:58.000000000|6.1 (7600)||Windows 7 Enterprise|ENBETEST-0001
Service Pack 2|0|STAGING||staging.eastnets.com|2009-11-03T14:19:00.000000000|2009-11-03 14:13:45|2009-11-03T08:15:40.000000000|5.2 (3790)||Windows Server 2003|STAGING
Service Pack 3|421|DALIA||Dalia.eastnets.com|2010-06-01T10:54:41.000000000|2010-06-08 11:28:37|2009-11-05T08:10:50.000000000|5.1 (2600)||Windows XP Professional|DALIA
Service Pack 3|52|ENDXBMNAHAWI||ENDXBMNAHAWI.eastnets.com|2010-01-27T06:35:49.000000000|2010-02-04 11:01:27|2009-11-08T10:47:11.000000000|5.1 (2600)||Windows XP Professional|ENDXBMNAHAWI
Service Pack 1||ENDR_SHAREPOINT||ENDR_SHAREPOINT.eastnets.com|2009-11-09T10:08:00.000000000||2009-11-09T10:03:55.000000000|6.0 (6001)||Windows Server® 2008 Enterprise|ENDR_SHAREPOINT
Service Pack 2|212|MS-EN||ms-en.eastnets.com|2010-08-01T09:12:31.000000000|2010-08-03 11:36:46|2009-11-10T10:24:34.000000000|5.1 (2600)||Windows XP Professional|MS-EN
Service Pack 2|0|ENGRAPHICVM||engraphicvm.eastnets.com|2009-11-10T12:04:05.000000000|2009-11-12 00:24:42|2009-11-10T10:57:43.000000000|5.1 (2600)||Windows XP Professional|ENGRAPHICVM
Service Pack 2|21|ENDRSHAREPOINT||ENDRSHAREPOINT.eastnets.com|2010-02-02T05:16:40.000000000|2010-02-03 07:57:34|2009-11-11T11:44:11.000000000|5.2 (3790)||Windows Server 2003|ENDRSHAREPOINT
Service Pack 1|244|ENDXBASTAMEN-PC||endxbastamen-PC.eastnets.com|2010-04-07T05:28:32.000000000|2010-04-15 07:08:20|2009-11-11T12:09:10.000000000|6.0 (6001)||Windows Vista™ Business|ENDXBASTAMEN-PC
Service Pack 1|0|SHERIF-PC||SHERIF-PC.eastnets.com|2011-10-09T07:38:47.000000000|0|2009-11-15T06:31:22.000000000|6.1 (7601)||Windows 7 Enterprise|SHERIF-PC
|464|ENDXB-MCHEHADEH||ENDXB-MCHEHADEH.eastnets.com|2010-11-18T07:07:01.000000000|2010-11-04 15:35:19|2009-11-17T07:20:04.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-MCHEHADEH
Service Pack 2|81|ENDXB-TBAXTER||ENDXB-TBAXTER.eastnets.com|2009-12-23T04:49:58.000000000|2009-12-27 19:06:06|2009-11-17T09:39:24.000000000|6.0 (6002)||Windows Vista™ Business|ENDXB-TBAXTER
Service Pack 3|35|ENDXB-NNASSIF||ENDXB-NNASSIF.eastnets.com|2010-03-26T12:42:07.000000000|2010-03-26 14:22:40|2009-11-23T08:25:55.000000000|5.1 (2600)||Windows XP Professional|ENDXB-NNASSIF
Service Pack 3||SHERIF||sherif.eastnets.com|2010-07-30T13:56:53.000000000||2009-11-23T10:05:05.000000000|5.1 (2600)||Windows XP Professional|SHERIF
Service Pack 1|0|ENBECO-100|Jean-Luc Renouprez|ENBECO-100.eastnets.com|2011-07-07T07:37:53.000000000|2011-06-29 11:58:06|2009-11-23T10:31:37.000000000|6.1 (7601)||Windows 7 Ultimate|ENBECO-100
|293|ENDXB-KPRAKASAM||endxb-kprakasam.eastnets.com|2011-01-17T05:35:54.000000000|2011-01-13 15:05:59|2009-11-24T07:08:16.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-KPRAKASAM
Service Pack 3|1|ENAMPDM01|Deyaa Innab|ENAMPDM01.eastnets.com|2013-01-08T08:45:58.000000000|2010-02-22 15:13:04|2009-11-25T11:22:27.000000000|5.1 (2600)||Windows XP Professional|ENAMPDM01
Service Pack 3|18|ENJOGP01||ENJOGP01.eastnets.com|2011-07-13T06:16:29.000000000|2011-05-26 08:55:43|2009-11-25T14:50:14.000000000|5.1 (2600)||Windows XP Professional|ENJOGP01
Service Pack 3|0|ENBEDE-0021|SPARE|enbede-0021.eastnets.com|2012-09-21T13:36:24.000000000|2011-02-07 06:54:43|2009-11-25T15:47:54.000000000|5.1 (2600)||Windows XP Professional|ENBEDE-0021
Service Pack 1|3|ENBEDE-0041||ENBEDE-0041.eastnets.com|2012-06-25T06:34:47.000000000|2011-06-29 15:43:24|2009-12-01T09:09:15.000000000|6.1 (7601)||Windows 7 Enterprise|ENBEDE-0041
Service Pack 3|19|ENAMSW01||enamsw01.eastnets.com|2010-06-22T12:13:17.000000000|2010-04-25 07:06:06|2009-12-01T09:20:41.000000000|5.1 (2600)||Windows XP Professional|ENAMSW01
Service Pack 3|0|ENAMDES01||ENAMDES01.eastnets.com|2010-11-01T16:21:33.000000000|2010-10-20 15:05:42|2009-12-01T14:03:02.000000000|5.1 (2600)||Windows XP Professional|ENAMDES01
Service Pack 2|1|ENBEDE-0042||ENBEDE-0042.eastnets.com|2012-02-27T12:18:16.000000000|2012-03-05 15:24:56|2009-12-01T14:59:25.000000000|6.0 (6002)||Windows Vista™ Enterprise|ENBEDE-0042
|0|ENAMDEV038||enamdev038.eastnets.com|2011-12-12T09:02:20.000000000|2011-06-08 09:31:48|2009-12-06T08:24:01.000000000|6.1 (7600)||Windows 7 Professional|ENAMDEV038
|282|QAHOST3||qahost3.eastnets.com|2013-08-13T12:39:01.000000000|2013-05-14 08:50:46|2009-12-06T13:06:59.000000000|6.1 (7600)||Windows Server 2008 R2 Enterprise|QAHOST3
Service Pack 3|6|ENAMPM01||enampm01.eastnets.com|2011-06-05T10:36:59.000000000|2010-12-28 15:45:11|2009-12-06T15:46:17.000000000|5.1 (2600)||Windows XP Professional|ENAMPM01
Service Pack 2||ENBELA-0039||enbela-0039.eastnets.com|2010-01-04T09:38:19.000000000||2009-12-09T08:45:42.000000000|5.1 (2600)||Windows XP Professional|ENBELA-0039
Service Pack 3|0|ENAMACC002|Lima AL-Hato|enamacc002.eastnets.com|2013-01-07T13:15:49.000000000|2010-09-27 05:43:31|2009-12-09T12:33:07.000000000|5.1 (2600)||Windows XP Professional|ENAMACC002
Service Pack 3|1|FATMA-LAPTOP||fatma-laptop.eastnets.com|2011-04-13T06:39:44.000000000|2010-09-22 05:27:13|2009-12-13T09:43:30.000000000|5.1 (2600)||Windows XP Professional|FATMA-LAPTOP
||dgradinarov-pc|||2009-12-14T17:39:14.000000000||2009-12-14T17:38:13.000000000||||dgradinarov-pc
Service Pack 3|42|D60HQNK1||D60HQNK1.eastnets.com|2011-01-17T21:35:25.000000000|2010-09-28 04:27:36|2009-12-14T17:38:25.000000000|5.1 (2600)||Windows XP Professional|D60HQNK1
||EASTNETS-LAP001||EASTNETS-LAP001.eastnets.com|2010-08-02T12:56:41.000000000||2009-12-18T10:53:01.000000000|6.1 (7600)||Windows 7 Enterprise|EASTNETS-LAP001
Service Pack 1|53|ENSCOM||ENSCOM.eastnets.com|2010-01-10T13:24:48.000000000|2010-01-18 09:28:30|2009-12-21T11:15:02.000000000|6.0 (6001)||Windows Server® 2008 Standard|ENSCOM
Service Pack 3|1|ENAMMDES002||enammdes002.eastnets.com|2012-06-07T13:48:38.000000000|2012-06-08 17:09:22|2009-12-28T08:57:36.000000000|5.1 (2600)||Windows XP Professional|ENAMMDES002
Service Pack 3, v.5657|0|ENE-CPL010||ENE-CPL010.eastnets.com|2013-08-13T12:39:01.000000000|0|2009-12-29T06:44:29.000000000|5.1 (2600)||Windows XP Professional|ENE-CPL010
Service Pack 3|2|ENAMMSALE003||enammsale003.eastnets.com|2010-06-16T07:12:45.000000000|2010-06-21 17:38:07|2009-12-29T09:31:51.000000000|5.1 (2600)||Windows XP Professional|ENAMMSALE003
Service Pack 1|0|ENBEDE-0020||ENBEDE-0020.eastnets.com|2012-05-29T07:39:27.000000000|2011-07-04 14:38:59|2009-12-31T13:39:16.000000000|6.1 (7601)||Windows 7 Enterprise|ENBEDE-0020
Service Pack 3|36|ENAMDEV041||ENAMDEV041.eastnets.com|2011-03-28T08:53:15.000000000|2011-01-20 04:41:52|2010-01-03T08:05:13.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV041
Service Pack 2|62|ENDXB-BASAM||endxb-basam.eastnets.com|2010-07-19T07:23:26.000000000|2010-07-26 13:07:04|2010-01-03T13:43:25.000000000|6.0 (6002)||Windows Vista™ Enterprise|ENDXB-BASAM
|236|ENDXB-ONUR||ENDXB-ONUR.eastnets.com|2010-05-23T10:39:58.000000000|2010-05-23 10:39:41|2010-01-04T05:40:38.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-ONUR
Service Pack 3||STHROMAS||sthromas.eastnets.com|2012-02-07T15:52:22.000000000||2010-01-07T09:08:26.000000000|5.1 (2600)||Windows XP Professional|STHROMAS
|0|ENE-SMOWAFY-LAP||ENE-SMOWAFY-LAP.eastnets.com|2011-03-23T07:00:28.000000000|2011-01-13 13:29:52|2010-01-11T09:18:29.000000000|6.1 (7600)||Windows 7 Professional|ENE-SMOWAFY-LAP
|1684|ENDXB-RCUNANAN||ENDXB-RCUNANAN.eastnets.com|2013-07-07T11:49:52.000000000|2013-07-08 13:00:35|2010-01-11T09:46:57.000000000|6.2 (9200)||Windows 8 Enterprise|ENDXB-RCUNANAN
Service Pack 1|1038|ENDXB-EMAGSOMBO||ENDXB-EMAGSOMBOL.eastnets.com|2012-04-03T05:30:51.000000000|2011-08-04 10:20:38|2010-01-13T08:25:20.000000000|6.1 (7601)||Windows 7 Ultimate N|ENDXB-EMAGSOMBO
Service Pack 3|0|ENAMDEV056||ENAMDEV056.eastnets.com|2011-08-16T10:35:48.000000000|2010-10-03 11:43:57|2010-01-17T08:17:13.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV056
Service Pack 2|7|ENHQSCOM||ENHQSCOM.eastnets.com|2010-01-19T11:58:02.000000000|2010-01-19 12:34:18|2010-01-18T09:11:44.000000000|5.2 (3790)||Windows Server 2003|ENHQSCOM
Service Pack 2|651|ENDXBMAIL002||ENDXBMAIL002.eastnets.com|2010-09-21T05:40:57.000000000|2010-09-21 07:19:35|2010-01-18T11:06:20.000000000|5.2 (3790)||Windows Server 2003|ENDXBMAIL002
||DEVLITE||DEVLITE.eastnets.com|2010-02-18T00:45:29.000000000||2010-01-18T13:10:48.000000000|6.1 (7600)||Windows Server 2008 R2 Enterprise|DEVLITE
Service Pack 3||ENBELAB-A30EE55||enbelab-a30ee55.eastnets.com|2010-09-23T10:24:05.000000000||2010-01-18T13:15:49.000000000|5.1 (2600)||Windows XP Professional|ENBELAB-A30EE55
Service Pack 2|0|ENE-DEV-TEST||ENE-DEV-Test.eastnets.com|2011-04-26T09:39:13.000000000|0|2010-01-19T07:41:32.000000000|5.2 (3790)||Windows Server 2003|ENE-DEV-TEST
Service Pack 2|35|TESTING||testing.eastnets.com|2013-08-18T14:36:10.000000000|2013-08-19 14:52:30|2010-01-19T08:17:00.000000000|5.2 (3790)||Windows Server 2003|TESTING
Service Pack 3||EASTNETS-1AF925||eastnets-1af925.eastnets.com|2010-03-18T10:14:24.000000000||2010-01-20T12:47:14.000000000|5.1 (2600)||Windows XP Professional|EASTNETS-1AF925
|0|ENBEFORTEGA||ENBEFORTEGA.eastnets.com|2011-06-23T07:37:03.000000000|2011-06-28 07:39:25|2010-01-20T16:26:06.000000000|6.1 (7600)||Windows 7 Enterprise|ENBEFORTEGA
Service Pack 2|16|ENDXB-DDAJANE||ENDXB-DDAJANE.eastnets.com|2012-09-11T07:21:37.000000000|2012-04-12 11:47:35|2010-01-21T09:27:48.000000000|6.0 (6002)||Windows Vista™ Business|ENDXB-DDAJANE
Service Pack 1|0|ENBVPARDAL||enbvpardal.eastnets.com|2013-08-19T07:21:33.000000000|2013-03-06 08:32:44|2010-01-21T10:57:45.000000000|6.1 (7601)||Windows 7 Professional|ENBVPARDAL
Service Pack 3||FREE||free.eastnets.com|2010-02-03T08:31:01.000000000||2010-01-24T07:31:43.000000000|5.1 (2600)||Windows XP Professional|FREE
|1148|ENDXB-RCHANINE||ENDXB-RCHANINE.eastnets.com|2011-07-31T06:05:08.000000000|2011-08-01 05:27:53|2010-01-25T05:28:45.000000000|6.1 (7600)||Windows 7 Ultimate N|ENDXB-RCHANINE
|434|AD||AD.eastnets.com|2010-06-30T04:56:50.000000000|2010-06-30 07:41:00|2010-01-25T12:28:05.000000000|6.1 (7600)||Windows 7 Ultimate N|AD
|1022|ENDXBAD||ENDXBAD.eastnets.com|2013-08-19T05:09:38.000000000|2013-08-15 13:04:30|2010-01-26T05:49:22.000000000|6.2 (9200)||Windows 8 Enterprise|ENDXBAD
Service Pack 2|3|ENAMSIDE001||ENAMSIDE001.eastnets.com|2011-02-05T12:44:49.000000000|2011-02-05 12:37:40|2010-02-17T12:55:14.000000000|5.2 (3790)||Windows Server 2003|ENAMSIDE001
|655|ENDXB-ASUMREIN||ENDXB-ASUMREIN.eastnets.com|2010-10-31T09:31:24.000000000|2010-10-31 10:28:24|2010-01-27T11:19:21.000000000|6.1 (7600)||Windows 7 Professional|ENDXB-ASUMREIN
Service Pack 2|0|ENBSHABANI||enbshabani.eastnets.com|2010-03-11T08:29:10.000000000|2010-03-03 11:04:48|2010-01-28T10:47:38.000000000|6.0 (6002)||Windows Vista™ Enterprise|ENBSHABANI
Service Pack 1|1712|ENDXB-DKHOURY||ENDXB-DKHOURY.eastnets.com|2013-08-14T05:24:37.000000000|2013-06-16 08:15:07|2010-01-28T12:02:18.000000000|6.1 (7601)||Windows 7 Enterprise|ENDXB-DKHOURY
Service Pack 3|24|ENAMPROJECT001||enamproject001.eastnets.com|2011-10-26T06:55:51.000000000|2011-08-09 06:18:48|2010-01-28T12:20:36.000000000|5.1 (2600)||Windows XP Professional|ENAMPROJECT001
Service Pack 1|1625|ENDXB-KPURSWANI||ENDXB-KPURSWANI.eastnets.com|2012-10-07T05:11:13.000000000|2012-10-15 13:48:58|2010-02-02T10:17:00.000000000|6.1 (7601)||Windows 7 Ultimate N|ENDXB-KPURSWANI
Service Pack 2|0|SWDT||SWDT.eastnets.com|2010-12-08T00:41:55.000000000|0|2010-02-02T16:09:45.000000000|5.2 (3790)||Windows Server 2003|SWDT
|1116|ENDXB-RAGARWAL||ENDXB-RAGARWAL.eastnets.com|2013-01-22T11:00:49.000000000|2012-12-19 13:22:45|2010-02-04T05:59:11.000000000|6.1 (7600)||Windows 7 Professional|ENDXB-RAGARWAL
Service Pack 2|32|ENDXB-SHAREPOIN||ENDXB-SHAREPOINT.eastnets.com|2010-04-19T00:52:58.000000000|2010-04-18 22:37:50|2010-02-04T06:29:51.000000000|5.2 (3790)||Windows Server 2003|ENDXB-SHAREPOIN
Service Pack 1|1453|ENDXB-MNAHAWI||ENDXB-MNAHAWI.eastnets.com|2013-04-17T07:25:14.000000000|2013-04-10 14:48:19|2010-02-07T07:55:35.000000000|6.1 (7601)||Windows 7 Enterprise|ENDXB-MNAHAWI
Service Pack 3, v.5755|0|ENE-CPL029||ENE-CPL029.eastnets.com|2011-05-02T12:09:01.000000000|2010-09-22 17:51:50|2010-02-07T08:09:41.000000000|5.1 (2600)||Windows XP Professional|ENE-CPL029
Service Pack 2|102|JOY1||joy1.eastnets.com|2010-05-06T06:20:55.000000000|2010-05-11 13:37:41|2010-02-07T11:02:27.000000000|5.1 (2600)||Windows XP Professional|JOY1
Service Pack 1|431|ENDXB-OSAID||endxb-osaid.eastnets.com|2011-08-02T10:29:55.000000000|2011-08-03 07:23:46|2010-02-07T11:46:49.000000000|6.1 (7601)||Windows 7 Enterprise|ENDXB-OSAID
Service Pack 2||ENE-HR001||ENE-HR001.eastnets.com|2011-05-02T12:09:01.000000000||2010-02-10T06:38:40.000000000|5.1 (2600)||Windows XP Professional|ENE-HR001
Service Pack 3|7|ENAMPDM02||ENAMPDM02.eastnets.com|2010-11-21T08:47:04.000000000|2010-08-10 07:03:16|2010-02-15T07:39:09.000000000|5.1 (2600)||Windows XP Professional|ENAMPDM02
Service Pack 2||QTEL||QTEL.eastnets.com|2010-10-24T14:55:02.000000000||2010-02-16T16:52:56.000000000|5.2 (3790)||Windows Server 2003|QTEL
Service Pack 1|2|ENAMSW013||ENAMSW013.eastnets.com|2011-08-23T08:06:03.000000000|2011-07-26 10:09:59|2010-02-22T10:58:54.000000000|6.1 (7601)||Windows 7 Professional|ENAMSW013
Service Pack 2||LITEDEV||liteDev.eastnets.com|2010-03-14T10:59:36.000000000||2010-02-23T09:19:02.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|LITEDEV
Service Pack 1|53|ENAMSW014||ENAMSW014.eastnets.com|2011-12-18T08:50:05.000000000|2011-09-18 12:30:14|2010-02-23T12:57:57.000000000|6.1 (7601)||Windows 7 Professional|ENAMSW014
|48|LITEVM||LITEVM.eastnets.com|2012-11-12T02:08:51.000000000|2012-11-18 09:34:03|2010-03-01T07:36:09.000000000|6.1 (7600)||Windows Server 2008 R2 Enterprise|LITEVM
|290|INTEGRATION1||INTEGRATION1.eastnets.com|2013-08-17T12:09:40.000000000|2013-08-18 03:39:04|2010-03-01T07:38:16.000000000|6.1 (7600)||Windows Server 2008 R2 Enterprise|INTEGRATION1
|8|ENAMSW015||ENAMSW015.eastnets.com|2010-07-18T12:56:48.000000000|2010-05-10 14:17:23|2010-03-01T09:15:30.000000000|6.1 (7600)||Windows 7 Professional|ENAMSW015
Service Pack 1|672|ENDXB-HMULHIM||ENDXB-HMULHIM.eastnets.com|2013-07-30T10:49:33.000000000|2013-04-26 17:19:51|2010-03-01T13:01:23.000000000|6.1 (7601)||Windows 7 Professional|ENDXB-HMULHIM
|0|HMMULHIM|||2010-03-01T13:58:56.000000000|0|2010-03-01T13:58:55.000000000||||HMMULHIM
|5|CEO||CEO.eastnets.com|2010-03-01T14:25:06.000000000|2010-03-01 14:24:58|2010-03-01T14:05:47.000000000|6.1 (7600)||Windows 7 Enterprise|CEO
Service Pack 2||EN_PORTAL||EN_Portal.eastnets.com|2010-03-15T09:59:27.000000000||2010-03-03T12:58:02.000000000|6.0 (6002)||Windows Server® 2008 Enterprise|EN_PORTAL
Service Pack 1|1110|ENDXB-ASANGHVI||ENDXB-ASANGHVI.eastnets.com|2013-01-09T12:27:03.000000000|2013-01-09 11:36:08|2010-03-04T05:09:38.000000000|6.1 (7601)||Windows 7 Enterprise|ENDXB-ASANGHVI
