"","*** Alcohol Soft/DAEMON Tools ***"
"isicom","MultiTech ISI Port Adapter Driver"
"iSightFT","Apple iSight Camera Filter Driver"
"ISIPSEnt","!!! PSP: AhnLab V3 Internet Security !!!"
"iSMBIOS","Intel Active Monitor iSMBios Driver"
"ISODrive","EZB ISO DVD/CD-ROM Device Driver"
"ISODrv64","EZB ISO CD-ROM Device Driver"
"isoparser","Microsoft Hyper-V Virtual Server Driver"
"isproto","Sunrise Telecom VoIP/LanHound Driver"
"ISPrxEnt","!!! PSP: AhnLab V3 Internet Security !!!"
"ISTrkEnt","!!! PSP: AhnLab V3 Internet Security !!!"
"itchfltr","Logitech PS2 Keyboard Filter Driver"
"itcscrpt","*** InfoTeCS ViPNet ***"
"itcsids","*** InfoTeCS ViPNet ***"
"itcspe","*** InfoTeCS ViPNet ***"
"itcsprot","*** InfoTeCS ViPNet ***"
"itcsrf","*** InfoTeCS ViPNet ***"
"itcswd","*** InfoTeCS ViPNet ***"
"iteatapi","ITE ATA/ATAPI SCSI Miniport Driver"
"itecir","ITE Consumer IR Driver"
"ITEhidCIR","ITE CIR Hid Driver"
"itendhlp","*** UNKNOWN - PLEASE PULL BACK ***"
"iteraid","ITE Raid Driver"
"IUAPI","Siemens Nixdorf I-Surf USB Driver"
"iviaspi","InterVideo ASPI Shell Driver"
"ivicd","InterVideo C/DVD Filter Driver"
"IvtBtBus","IVT Bluetooth Bus Device Driver"
"iwca","Intel Wireless Connection Agent"
"iwjfutde","*** UNKNOWN - PLEASE PULL BACK ***"
"IWPORT","Sven Goers Lpt-Driver for Win NT4/2k"
"iziuog","*** UNKNOWN - PLEASE PULL BACK ***"
"jdfs","Jungle Disk File System Driver"
"JGOGO","JMicron Hot-Plug Driver"
"jhlsmmed","*** UNKNOWN - PLEASE PULL BACK ***"
"JiaoCap","Jiao System WDM Video Capture Driver"
"JiaoIO","*** UNKNOWN - PLEASE PULL BACK ***"
"jkscml","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"JMARPH~1","!!! PSP: Jiangmin Antivirus !!!"
"jmcr","JMicron JMB38X Memory Card Reader Driver"
"JmFwDDos","!!! PSP: Jiangmin Antivirus !!!"
"jmidebs","*** SIG8 - FOLLOW GUIDANCE ***"
"jmiide2","*** UNKNOWN - PLEASE PULL BACK ***"
"jminet3","*** UNKNOWN - PLEASE PULL BACK ***"
"jraid","JMicron JR36X RAID Driver"
"jsdw776","*** MANTLESTUMP/UNITEDRAKE ***"
"jswscimd","Atheros Wireless Intermediate Miniport Driver"
"k56nt","Conexant SoftK K56NT Driver"
"k57xp32","Broadcom NetLink Gigabit Ethernet Driver"
"k750cm","Sony Ericsson 750 USB WMC Modem Driver"
"k750wh","Sony Ericsson 750 USB WMC Modem Driver"
"kantiarp","!!! PSP: Kingsoft Antivirus !!!"
"kavapim","!!! PSP: Kingsoft Antivirus !!!"
"KAVBase","!!! PSP: Kingsoft Antivirus !!!"
"KAVBootC","!!! PSP: Kingsoft Antivirus !!!"
"kavfm","!!! PSP: Kingsoft Antivirus !!!"
"kavpm","!!! PSP: Kingsoft Antivirus !!!"
"KAVSafe","!!! PSP: Kingsoft Antivirus !!!"
"kavuty","!!! PSP: Kingsoft Antivirus !!!"
"kaxrrbya","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"Kbdclass","Keyboard Class Driver"
"kbdclmgr","*** SALVAGERABBIT/UNITEDRAKE ***"
"kbdhid","Bluetooth HID Keyboard Driver"
"kbdlt","*** UNKNOWN - PLEASE PULL BACK ***"
"kbfilter","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"kbfiltr","Dritek Hotkey Keyboard Filter Driver"
"kbipoupg","*** UNKNOWN - PLEASE PULL BACK ***"
"Kblock","Novell ZENworks for Desktops Driver"
"kbpnp","*** YAK ***"
"KBSTUFF","Novell ZENworks for Desktops Driver"
"kbstuff5","Microsoft SMS Advanced Client Driver"
"KCIrNet","KC NDIS Miniport Driver for IrDA"
"KcNtKrnl","*** UNKNOWN - PLEASE PULL BACK ***"
"kcolcctl","*** UNKNOWN - PLEASE PULL BACK ***"
"KCOM","!!! PSP: PC Tools Spyware Doctor !!!"
"kdcom","kernel debugger hw extension dll"
"kdsmm","Eastman Kodak KDS Memory Mapping Driver"
"kernel32","*** Win BASE API DLL (Win7/2008) -OR- POSSIBLE MALWARE ***"
"KernelBase","Windows NT BASE API Client"
"KeyAgent","Apple Boot Camp KeyAgent Driver"
"Keyboard","*** UNKNOWN - PLEASE PULL BACK ***"
"KeyMagic","Apple KeyMagic Keyboard Driver"
"KeyP","Microsoft SmartKey NT Driver"
"Kfc","KFC Kernel C++ Runtime Driver"
"kfwamon","!!! PSP: Beijing Ao Shield KFW Firewall !!!"
"kfwcorea","!!! PSP: Beijing Ao Shield KFW Firewall !!!"
"KGootkit","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"khlp755w","*** STOWAGEWINK/UNITEDRAKE ***"
"khlp807w","*** NETSPYDER ***"
"khlp811u","*** SPINOFFCACTUS/OLYMPUS ***"
"khlp894u","*** SCOUTRUMMAGE/UNITEDRAKE ***"
"kilqkm","*** UNKNOWN - PLEASE PULL BACK ***"
"kinth","WRQ Express Meter Client Driver"
"kisknl","!!! PSP: Kingsoft Antivirus !!!"
"kiymlrih","*** UNKNOWN - PLEASE PULL BACK ***"
"KjavMon","*** UNKNOWN - PLEASE PULL BACK ***"
"kkbcdrgi","*** UNKNOWN - PLEASE PULL BACK ***"
"kl1","!!! PSP: Kaspersky Internet Security !!!"
"kl2","!!! PSP: Kaspersky Internet Security !!!"
"klbg","!!! PSP: KasperskyLab Boot Guard !!!"
"klfltdev","!!! PSP: Kaspersky Anti-Virus !!!"
"klick","!!! PSP: Kaspersky Internet Security !!!"
"klidmod","*** UNKNOWN - PLEASE PULL BACK ***"
"klif","!!! PSP: Kaspersky Internet Security !!!"
"klim5","!!! PSP: Kaspersky Internet Security !!!"
"klim6","!!! PSP: Kaspersky Anti-Virus !!!"
"klin","!!! PSP: Kaspersky Internet Security !!!"
"klmc","!!! PSP: Kaspersky Anti-Virus !!!"
"klmouflt","!!! PSP: Kaspersky Internet Security !!!"
"klop","!!! PSP: Kaspersky Internet Security !!!"
"Klpf","!!! PSP: Kaspersky Internet Security !!!"
"Klpid","!!! PSP: Kaspersky Internet Security !!!"
"klstm","!!! PSP: Kaspersky Anti-Virus !!!"
"KMBC","Dialogic HMP Kernel-Mode Bridge Controller"
"KmHidCls","NComputing Multiuser 2000 Virtualization Driver"
"KmHlprk","NComputing Multiuser 2000 Virtualization Driver"
"kmhlpru","NComputing Multi User 2000 Virtualization Driver"
"KMHLPRU","NComputing Multiuser 2000 Virtualization Driver"
"kmixer","Microsoft Kernel Wave Audio Mixer"
"KmJBox","NComputing Multiuser 2000 Virtualization Driver"
"KmKbdCls","NComputing Multiuser 2000 Virtualization Driver"
"KmKbdPnp","NComputing Multiuser 2000 Virtualization Driver"
"KmMouCls","NComputing Multiuser 2000 Virtualization Driver"
"KmMouPnp","NComputing Multiuser 2000 Virtualization Driver"
"kmodurl","!!! PSP: Kingsoft Firewall !!!"
"KmStore","NComputing Multiuser 2000 Virtualization Driver"
"KMWDFILTER","KME USB Human Interface Device Driver"
"KMWDKUSB","Kyocera KM-WDK USB Driver"
"KmWpsMs","NComputing Multiuser 2000 Virtualization Driver"
"kmxagent","!!! PSP: CA eTrust Firewall !!!"
"KmxBiG","!!! PSP: CA eTrust Firewall !!!"
"kmxcf","!!! PSP: CA eTrust Firewall !!!"
"kmxcfg","!!! PSP: CA eTrust Firewall !!!"
"kmxfile","!!! PSP: CA eTrust Firewall !!!"
"kmxfw","!!! PSP: CA eTrust Firewall !!!"
"kmxids","!!! PSP: CA eTrust Firewall !!!"
"kmxndis","!!! PSP: CA eTrust Firewall !!!"
"kmxsbx","!!! PSP: CA eTrust Firewall !!!"
"kmxstart","!!! PSP: CA eTrust Firewall !!!"
"KNetWch","!!! PSP: Kingsoft Firewall !!!"
"KNLMON","*** UNKNOWN - PLEASE PULL BACK ***"
"KP_PLX","*** UNKNOWN - PLEASE PULL BACK ***"
"kpscc","*** UNKNOWN - PLEASE PULL BACK ***"
"KR10N","TOSHIBA RAID Driver"
"kregex","!!! PSP: Jiangmin Antivirus !!!"
"ks","Kernel CSA Library"
"ksafebc","!!! PSP: Kingsoft Antivirus !!!"
"ksapi","!!! PSP: Kingsoft Antivirus !!!"
"kscdman","KingSoft Virtual CDRom Driver"
"ksdef","!!! PSP: Kingsoft Internet Security !!!"
"KSecDD","Kernel Security Support Provider Interface"
"ksecpkg","MS Kernel Security Support Provider Interface"
"ksthunk","Kernel Streaming Thunks Driver"
"KSysCall","!!! PSP: Jiangmin Antivirus !!!"
"KSysMon","!!! PSP: Jiangmin Antivirus !!!"
"KSysTrace","!!! PSP: Jiangmin Antivirus !!!"
"kvdisk","!!! PSP: Rising Anti-Virus and Firewall !!!"
"KVfg","!!! PSP: Jiangmin Antivirus !!!"
"KVFG","!!! PSP: Jiangmin Antivirus !!!"
"kvnet","!!! PSP: Kerio WinRoute Firewall !!!"
"kvpndrv","Kerio VPN Driver"
"KVREDIR","!!! PSP: Jiangmin Antivirus !!!"
"KVRedir","!!! PSP: Jiangmin Antivirus !!!"
"KWatch","!!! PSP: Kingsoft Antivirus !!!"
"KWatch3","!!! PSP: Kingsoft Antivirus !!!"
"KWatch32","!!! PSP: Kingsoft Antivirus !!!
"kwatch32","!!! PSP: Kingsoft Internet Security !!!"
"kwflower","!!! PSP: Kerio WinRoute Firewall !!!"
"kwfupper","!!! PSP: Kerio WinRoute Firewall !!!"
"kwpirpow","*** UNKNOWN - PLEASE PULL BACK ***"
"kx","Eugene Gavrilov kX Audio Driver"
"l150x86","Atheros L1 Gigabit Ethernet Controller Driver"
"l151x86","Atheros L1 Gigabit Ethernet Controller Driver"
"l160x86","Atheros L1 Gigabit Ethernet Controller"
"l1c51x86","Atheros PCI-E Ethernet Controller NDIS Miniport"
"L1C60x86","ACER Aspire One AOD250 LAN Driver"
"l1e50x86","Atheros PCI-E Ethernet Controller Driver"
"l1e51x86","Atheros PCI-E Ethernet Controller Driver"
"l250x86","Atheros Fast Ethernet Controller Driver"
"l251x86","Atheros L2 Fast Ethernet Controller"
"L8042Kbd","Logitech PS2 Keyboard Filter Driver"
"L8042mou","Logitech PS/2 Mouse Filter Driver"
"L8042pr2","Logitech PS2 Mouse Filter Driver"
"lamaapi","*** UNKNOWN - PLEASE PULL BACK ***"
"lamclar","EMC PowerPath Driver"
"lamgen","EMC PowerPath Driver"
"laminv","EMC PowerPath Driver"
"lamrkit","*** UNKNOWN - PLEASE PULL BACK ***"
"lamsymm","EMC PowerPath Driver"
"LANPkt","Realtek LAN Protocol Driver"
"lawfenv","*** UNKNOWN - PLEASE PULL BACK ***"
"Lbd","!!! PSP: Lavasoft Ad-Aware !!!"
"LBeepKE","Logitech Consumer Control Filter Driver"
"LCcFltr","Logitech USB Medi/WWW Filter Driver"
"ldblank","LANDesk Screen Blanking Driver"
"ldmirror","LANDesk Remote Control Mirror Miniport Driver"
"LDSecDrv","!!! PSP: LANDesk Security Suite !!!"
"LenovoRd","Lenovo Smart Card Reader Driver"
"LF30XP","Lock Folder XP File Protection Driver"
"LFXACT","Companion Suite Pro LL F@X Activities Driver"
"lfxnt","Companion Suite Pro LL F@X Activities Driver"
"LGDispDrv","LG Soft India Rotation Driver"
"lgtosync","VMware/Legato Sync Driver"
"lhepfi","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"LHidFilt","Logitech HID Filter Driver"
"LHidFlt2","Logitech HID Filter Driver"
"LHidKE","Logitech HID Filter Driver"
"LHidUsb","Logitech USB Mouse Function Driver"
"libusb0","LibUSB-Win32 Kernel Driver"
"libxprmc","Microsoft Overland Data LibraryXpress"
"lidnui1","*** UNKNOWN - PLEASE PULL BACK ***"
"linux","Cooperative Linux (coLinux) Kernel Driver"
"lirsgt","Tages SA Copy Protection Software"
"ljpcjd","*** UNKNOWN - PLEASE PULL BACK ***"
"ljqjqm","*** UNKNOWN - PLEASE PULL BACK ***"
"LLmanNIC","Alcatel Virtual Network Card Driver"
"lltdio","*** DS MENTAL *** -OR- Microsoft Link-Layer I/O Driver"
"lm78_32","IBM Director LM78 Interface DLL"
"lm78nt","IBM Director Management System"
"lmimirr","LogMeIn Video Helper Driver"
"lmimirr2","LogMeIn Video Helper Driver"
"LMIRfsDriver","LogMeIn RFS Drivemap Driver"
"LMouFilt","Logitech Mouse Filter Driver"
"LMouFlt2","Logitech Mouse Filter Driver"
"LMouKE","Logitech SetPoint Mouse Filter Driver"
"lnetcpl","*** SIG25 - FOLLOW GUIDANCE ***"
"lnsfw","!!! PSP: Soft4Ever Look 'n Stop Firewall !!!"
"lnsfw1","!!! PSP: Soft4Ever Look 'n Stop Firewall !!!"
"lontqos","*** UNKNOWN - PLEASE PULL BACK ***"
"loop","Microsoft Loopback Network Driver"
"lp6nds35","Fiber Channel SCSI Driver"
"lpk","Microsoft Language Pack Driver"
"lpwdm","THOMSON Telecom SpeedTouch WDM Library"
"lpxftr","Emulex Fibre Channel Adjunct Driver"
"lpxnds","Emulex Fibre Channel SCSI Driver"
"lsi_sas","LSI SCSI Driver"
"lsi_scsi","LSI Logic Fusion-MPT SCSI Driver (Storport)"
"LsiCsb6","LSI CSBC MegaRAID IDE Driver"
"lsicsb6","LSI MegaRAID IDE Driver"
"lsiSAS3","LSI Logic PCI-X Adapter Driver"
"lsnat","!!! PSP: Entensys Usergate 5 Proxy/Firewall !!!"
"ltmdmnt","Agere LT V.92 Data+Fax Modem Driver"
"ltotape","Microsoft SCSI Tape Driver"
"LTSM","TOSHIBA SoftModem Device Driver"
"LTSMT","TOSHIBA SoftModem Device Driver"
"luafv","Microsoft LUA File Virtualization Filter Driver"
"ludsuvqd","*** UNKNOWN - PLEASE PULL BACK ***"
"LUsbFilt","Logitech USB Filter Driver"
"lv302af","Logitech QuickCam Driver"
"LV302V32","Logitech QuickCam Driver"
"LVcKap","Logitech QuickCam Driver"
"LVHybrid","Lifeview Hybrid BDA AVStream Driver"
"LVMVDrv","Logitech QuickCam Driver"
"LVPr2Mon","Logitech QuickCam Driver"
"lvrs","Logitech Webcam Software Driver"
"LVUSBSta","Logitech QuickCam Driver"
"lvuvc","Logitech QuickCam USB Video Class Driver"
"lxmini","AMD Miniport Driver"
"lxwdmau","Advanced Micro Geode WDM Audio Driver"
"m_sscan","SCSI Scanner Driver"
"m4cxw2k","D-Link DGE-530T Gigabit Ethernet Adapter"
"m4cxw2k3","D-link DGE-530T Gigabit Ethernet Adapter"
"m4cxwxp","D-Link DGE-530T Gigabit Ethernet Adapter"
"m5228","ALi ATA RAID Controller Driver"
"m5281","ALi ATA SATA RAID Controller Driver"
"m5287","ULi SATA Controller Driver"
"m5288","ULi SATA Controller Driver"
"MacHALDriver","Apple Boot Camp Mac HAL Driver"
"MacOpen","DataViz MacOpener File System Driver"
"mafw","M-Audio Delta FW WDM Driver"
"magicpvt","Samsung MagicRotation Filter Driver"
"MAILFILT","!!! PSP: Agnitum Outpost Firewall !!!"
"MakoNT","!!! PSP: ISS Proventia Virtual Patch Protection !!!"
"malrsc","*** UNKNOWN - PLEASE PULL BACK ***"
"ManyCam","ManyCam Webcam Video Driver"
"MarvinBus","Pinnacle MarvinPro Bus Enumerator Driver"
"MarxDev1","MARX Data Security CBN/VERSA Software Protection"
"MarxDev2","MARX Data Security CBN/VERSA Software Protection"
"MarxDev3","MARX Data Security CBN/VERSA Software Protection"
"MaVc2K","Mobile Action Handset Manager"
"mbam","!!! PSP: MalwareBytes Anti-Malware !!!"
"mbr","!!! PSP: sUBs ComboFix !!!"
"mc21","!!! PSP: PC Tools Spyware Doctor !!!"
"mc21FA","*** UNKNOWN - PLEASE PULL BACK ***"
"mc22","*** UNKNOWN - PLEASE PULL BACK ***"
"mc23","!!! PSP: PC Tools Spyware Doctor !!!"
"mc2E","*** UNKNOWN - PLEASE PULL BACK ***"
"MCAdriver_net","*** UNKNOWN - PLEASE PULL BACK ***"
"MCD","Microsoft Medium Changer Class Driver"
"mcdbus","MagicISO SCSI Host Controller"
"mchccinj","Salfeld Child Control Software Driver"
"mchInjDrv","!!! PSP: Spyware Doctor !!!"
"MCSTRM","RealNetworks Virtual Path Manager Driver"
"mcupdate_AuthenticAMD","Microsoft AMD Microcode Update Library"
"mcupdate_GenuineIntel","Intel Microcode Update Library"
"md3dsm","Dell MD3000i MPIO (DSM) Driver"
"md3utm","Dell MD3000i MPIO (UTM) Driver"
"mdc80211","AEGIS Client IEEE 802.1X Protocol Driver"
"mdc8021x","AEGIS Client IEEE 802.1X Protocol Driver"
"mdmxsdk","Conexant Diagnostic Interface Driver"
"mdnwdiag","*** BEHAVEPEKING ***"
"MegaIDE","LSI MegaRAID IDE Driver"
"megasas","LSI MEGASAS RAID Controller Driver"
"MegaSign","LSI MegaRAID Software RAID Driver"
"MegaSR","LSI MegaRAID Software RAID Driver"
"megasr","LSI MegaRAID Software RAID Driver"
"megasr1","LSI Embedded MegaRAID Driver"
"meiudf","Matsushita DVD-RAM UDF File System Driver"
"MEMIO","*** UNKNOWN - PLEASE PULL BACK ***"
"MemMapNt","SuperMicro MemMap Virtual Device Driver"
"MEMSCAN","!!! PSP: Rising Anti-Virus and Firewall !!!"
"memwdm","MMVSC Virtual Smart Card Reader Driver"
"meProg","microEngineering Labs Programmer Paraller Driver"
"mf","Microsoft Multifunction Enumerator"
"mf32","*** CARBONFIBER ***"
"mfc64comm","*** SIG24 - FOLLOW GUIDANCE ***"
"mfeapfk","!!! PSP: McAfee Virus Scan !!!"
"mfeavfk","!!! PSP: McAfee Virus Scan !!!"
"mfebopk","!!! PSP: McAfee Virus Scan !!!"
"mfehidk","!!! PSP: McAfee Virus Scan !!!"
"mfehidk01","!!! PSP: McAfee Virus Scan !!!"
"mfehidk02","!!! PSP: McAfee Virus Scan !!!"
"mferkdk","!!! PSP: McAfee Virus Scan !!!"
"mfesmfk","!!! PSP: McAfee Virus Scan !!!"
"mfesmfk01","*** UNKNOWN - PLEASE PULL BACK ***"
"mfetdi2k","!!! PSP: McAfee Virus Scan !!!"
"mfetdik","!!! PSP: McAfee Virus Scan !!!"
"mfpdrv","Edimax Multi-Function Print Server Driver"
"mfpvbus","Edimax MFP Server Detector Driver"
"MGCSECP","MSCS Panasonic-DMS Protocol Control Driver"
"MGHwCtrl","MSI System Control Manager Driver"
"mhdrv","Rainbow China MicroDog Dongle Driver"
"mhk","Jetico BestCrypt Encryption System"
"miavedcg","*** UNKNOWN - PLEASE PULL BACK ***"
"MICOMPar","Alstom T&D P&C Parellel Port Driver"
"micprp","*** UNKNOWN - PLEASE PULL BACK ***"
"minicd","MiniCD CD-ROM Emulator Driver"
"minidrv32","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"mipllst","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"mirror","Windows GDI Mirror Display Driver"
"mirrorflt","LANDesk Remote Control Filter Driver"
"mirrorv3","MegaRAID RAID Controller Driver"
"MLPTDR_B","Minolta 2300 DL Printer Driver"
"MLPTDR_C","Minolta-Qms PagePro 1250W Driver"
"mmc_2K","Roxio CD-R/RW AddOn MMC Driver"
"mmcdev","HP Server Agent MMC Driver"
"mmkbd","Dritek USB Keyboard HID Filter Driver"
"mnasavsn","*** UNKNOWN - PLEASE PULL BACK ***"
"mnmdd","Frame Buffer Simulator"
"mnmdf","*** FRIENDLY TOOL - SEEK HELP ASAP ***"
"Modem","Modem Device Driver"
"MODEMCSA","Microsoft Unimodem CSA Filter Driver"
"modemshr","Microsoft Shared Modem Service Driver"
"moh","Jetico BestCrypt Encryption System"
"mohfilt","Intel Filter Driver to Support Modem-on-Hold"
"monfilt","Creative WDM Audio Driver (32-bit)"
"monitor","Windows Monitor Driver"
"mos24ser","ATEN High-Speed USB MultiSerial Adapter Driver"
"MOSUMAC","MOSCHIP USB-Ethernet Adapter Driver"
"Mouclass","Mouse Class Driver"
"Mouhid","Bluetooth HID Mouse Driver"
"MountMgr","Microsoft Mount Manager Driver"
"Mouslock","Novell ZENworks for Desktops Driver"
"moxa","*** UNKNOWN - PLEASE PULL BACK ***"
"mpdev","Microsoft Multipath SCSI Device Filter"
"mpdkg32","*** KILLSUIT ***"
"mpfilt","Alcor Micro USB Flash Disk Controller Driver"
"MpFilter","!!! PSP: Microsoft Security Essentials !!!"
"Mpfp","!!! PSP: McAfee Personal Firewall !!!"
"mpio","Microsoft Multipath Support Bus Driver"
"MpKsl06b3f772","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl071facba","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl08dde1e2","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl0a61170b","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl1a279b5b","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl1d52b9e7","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl26c95506","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl2ead1779","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl311e8638","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl3abf214e","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl3f5d9da9","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl47216abb","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl4d7e1c28","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl509fdca8","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl51349f48","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl556edec0","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl59a6a784","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl59bf729c","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl59df00af","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl6479ae24","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl6bb4e4cb","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl6d3d8b5a","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl71a1125a","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl738e30da","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl765c5642","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl889f7377","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl8ef9c7a1","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl977bda62","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl9922ad39","!!! PSP: Microsoft Security Essentials !!!"
"MpKsl9b6a8a57","!!! PSP: Microsoft Security Essentials !!!"
"MpKsla3f30938","!!! PSP: Microsoft Security Essentials !!!"
"MpKslb4a9789e","!!! PSP: Microsoft Security Essentials !!!"
"MpKslbc572edd","!!! PSP: Microsoft Security Essentials !!!"
"MpKslc38d7412","!!! PSP: Microsoft Security Essentials !!!"
"MpKslc47fbf7d","!!! PSP: Microsoft Security Essentials !!!"
"MpKsld8136088","!!! PSP: Microsoft Security Essentials !!!"
"MpKsldf1e0c2a","!!! PSP: Microsoft Security Essentials !!!"
"MpKsldfa0682e","!!! PSP: Microsoft Security Essentials !!!"
"MpKsle4b0261a","!!! PSP: Microsoft Security Essentials !!!"
"MpKsle8b2ea2c","!!! PSP: Microsoft Security Essentials !!!"
"MpKsle9d7c819","!!! PSP: Microsoft Security Essentials !!!"
"MpKslf44b87a7","!!! PSP: Microsoft Security Essentials !!!"
"MpKslf5a51d12","!!! PSP: Microsoft Security Essentials !!!"
"MpKslf746bf7d","!!! PSP: Microsoft Security Essentials !!!"
"MpKslfe7d4aeb","!!! PSP: Microsoft Security Essentials !!!"
"MpNWMon","!!! PSP: Microsoft Security Essentials !!!"
"MPRIFL","FSPro Labs Hide Folders Driver"
"mProcRs","!!! PSP: Rising Anti-Virus and Firewall !!!"
"mpsdrv","Microsoft Protection Service Driver"
"mpspfltr","Microsoft Multipath SCSI Filter"
"mq32","*** CARBONFIBER ***"
"mqac","Windows NT MQ Access Control Device Driver"
"mraid2k","Dell PERC 3/QC RAID Driver"
"mraid35x","MegaRAID RAID Controller Driver"
"mrfoldr","Techsoft MirrorFolder Real-time Mirroring Driver"
"mrs","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"MRV8335XP","Marvell Libertas 802.11b/g Wireless (8335) Driver"
"MRXCLS","*** SIG8 - FOLLOW GUIDANCE ***"
"mrxcls","*** SIG8 - FOLLOW GUIDANCE ***"
"MRxDAV","WebDav Client Redirector"
"mrxnet","*** SIG8 - FOLLOW GUIDANCE ***"
"MRxSmb","Windows NT SMB Minidriver"
"mrxsmb10","Microsoft SMB 1.0 Redirector Driver"
"mrxsmb20","*** ST MENTAL *** -OR- Microsoft SMB 2.0 Redirector"
"MRxVPC","Microsoft Virtual Machine Folder Sharing Driver"
"ms64sys","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"msahci","*** DARKSKYLINE MENTAL ***"
"msas2k3","LSI MEGASAS RAID Controller Driver"
"msasn1","Microsoft ASN.1 Runtime APIs"
"mscnsp","*** FORMALRITE/UNITEDRAKE ***"
"mscoreep","*** FOGGYBOTTOM/UNITEDRAKE ***"
"msctf","Microsoft MSCTF Server DLL"
"msdbm","*** UNKNOWN - PLEASE PULL BACK ***"
"msdsm","Microsoft Device Specific Module"
"msdtcs32","*** SPITTINGSPYDER/UNITEDRAKE ***"
"msdv","Microsoft DV Camera and VCR Driver"
"msfat","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"msfcvr32","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"Msfs","Mailslot Driver"
"msgdi32","*** SIG35 - FOLLOW GUIDANCE ***"
"msgpc","MS General Packet Classifier"
"mshk","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"msikbd2k","Netropa Multimedia Keyboard Driver"
"msisadrv","Windows ISA Driver"
"msiscdsm","Microsoft iSCSI Multi-Path DSM Driver"
"msiscsi","Microsoft iSCSI Initiator Driver"
"msixctr","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"mskbd","*** ELLIOTSPRINGE/FLEWAVENUE ***"
"MSKSSRV","Microsoft Streaming Service Proxy"
"msmipr","Microsoft MS Miniport Protocol Driver"
"msmps32","*** HASSLEWITTPORT/UNITEDRAKE ***"
"msmpu401","Microsoft MPU401 Adapter Driver"
"MSNDSRV","*** UNITEDRAKE 3.4 ***"
"msndsrv","*** UNITEDRAKE 3.4 ***"
"msnfsflt","Microsoft NFS Filesystem Filter Driver"
"MSPCLOCK","Microsoft Streaming Clock Proxy"
"mspfltex","MS ISA Server MSP Packet Filter Extension"
"mspnat","Microsoft ISA Server MSP NAT Director"
"MSPQM","Microsoft Streaming Quality Manager Proxy"
"msrmdr32","*** STOWAGEWINK/UNITEDRAKE ***"
"msrpc","Microsoft Kernel Remote Procedure Call Provider"
"msrsfler","*** UNKNOWN - PLEASE PULL BACK ***"
"msrstd","*** SALVAGERABBIT ***"
"msrtvd","*** GROK/UNITEDRAKE ***"
"msrtvid32","*** SPINOFFCACUS/UNITEDRAKE ***"
"msscd16","*** VALIDATOR ***"
"mssfdr","*** SIG35 - FOLLOW GUIDANCE ***"
"mssloct","*** SIG35 - FOLLOW GUIDANCE ***"
"mssmbios","Microsoft System Management BIOS Driver"
"mssygx","*** SIG35 - FOLLOW GUIDANCE ***"
"mstcp32","*** SENTRYTRIBE ***"
"mstkpr","*** SALVAGERABBIT/UNITEDRAKE ***"
"msvcp56","*** PEDDLECHEAP ***"
"msvcp57","*** PEDDLECHEAP ***"
"msvcp58","*** PEDDLECHEAP ***"
"msvcrt","Microsoft Visual C++ Runtime Library"
"msvmmouf","Microsoft Virtual Machine Additions Driver"
